"id","area","feature","user_story","expected_behavior","code_evidence","docs_evidence","test_layer","feature_status","test_status","next_verification","defects","notes"
"US-001","Onboarding","First-run path","As a new user, I want to install Wardian, launch it, connect a provider, spawn an agent, send work, review completion, and confirm CLI visibility so that I can trust the app is wired correctly.","The app should guide users from install to provider auth, agent spawn, first prompt, Queue review, and optional CLI state inspection without hiding provider setup responsibilities.","src/views/App.tsx; src/features/agents/SpawnAgentPanel.tsx; src/views/QueueView.tsx; crates/wardian-cli/src/main.rs; src/components/OnboardingHint.tsx; src/store/useOnboardingStore.ts","docs/guide/getting-started.md; docs/guide/provider-readiness.md; docs/guide/first-run-troubleshooting.md","browser+native+real-provider","audited_from_code_2026-06-22","partial_passed_2026-06-22","Requires explicit opt-in live provider validation before complete: WARDIAN_E2E_REAL_DELIVERY=1 WARDIAN_E2E_DELIVERY_PROVIDERS=codex,claude,gemini,opencode,antigravity npm run test:e2e:native:fast -- e2e-native/tests/provider-delivery-real-native.test.mjs. For a narrower account-authorized pass, add WARDIAN_E2E_DELIVERY_ALLOW_PARTIAL=1 and set WARDIAN_E2E_DELIVERY_PROVIDERS=<comma-separated authorized providers>. Also rerun npm run test -- src/components/OnboardingHint.test.tsx.","Test logistics resolved: native fast initially failed because localhost:1420 was unavailable; rerun passed after starting Vite/rebuilding the debug app.","Verified with browser E2E, native mock spawn/list/queue, CLI visibility, provider readiness, and isolated WARDIAN_HOME; live provider auth/delivery remains intentionally opt-in because it uses external accounts. Dismissible onboarding hints are included in the first-run support surface and persisted by the onboarding store. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/OnboardingHint.test.tsx src/layout/titlebar/WorkspaceTabs.test.tsx src/layout/titlebar/CustomTitleBar.test.tsx src/layout/titlebar/LeftSidebarControls.test.tsx src/layout/titlebar/RightWindowControls.test.tsx src/features/settings/useAppUpdate.test.tsx src/features/terminal/terminalShortcuts.test.ts src/features/terminal/terminalCapabilities.test.ts src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts src/features/remote/remoteIdentity.test.ts src/features/workflows/BlueprintSelector.test.tsx src/features/workflows/builder/NodePalette.test.tsx src/features/workflows/builder/VariableAssistant.test.tsx src/features/workflows/builder/useUpstreamContext.test.ts src/views/WorkflowsView.test.tsx (16 files, 140 tests). Safe real-provider harness check on 2026-06-22 passed without opt-in flags: npm run test:e2e:native:fast -- e2e-native/tests/provider-delivery-real-native.test.mjs e2e-native/tests/real-provider-rendering-native.test.mjs (3 tests: 1 parser pass, 2 skipped for missing WARDIAN_E2E_REAL_DELIVERY/WARDIAN_E2E_REAL_RENDERING). Continuation verification on 2026-06-22 passed: npm run test -- src/components/OnboardingHint.test.tsx src/features/terminal/terminalShortcuts.test.ts src/features/terminal/terminalCapabilities.test.ts src/features/terminal/AgentTerminal.test.tsx (4 files, 128 tests); npm run test:e2e:native:fast -- e2e-native/tests/provider-readiness-native.test.mjs (1 native test); node --test e2e-native/tests/rendering-audit-options.test.mjs (69 tests)."
"US-002","Provider readiness","Provider detection and missing-provider handling","As a user, I want Wardian to show which provider CLIs are available before I spawn agents so that I avoid dead launches.","Provider options should reflect supported providers, missing CLIs should be communicated, and real auth/model trust should remain outside the simple executable check.","src/features/agents/providerOptions.ts; src/features/agents/SpawnAgentPanel.tsx; src-tauri/src/providers/mod.rs; src-tauri/src/providers/factory.rs","docs/guide/provider-readiness.md; docs/providers.md; docs/guide/settings.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun npm run test -- src/features/agents/providerOptions.test.ts src/features/agents/SpawnAgentPanel.test.tsx src/features/agents/ConfigureAgentPanel.test.tsx src/features/agents/CustomCloneModal.test.tsx src/features/workflows/RunLaunchDialog.test.tsx and npm run test:e2e:native:fast -- e2e-native/tests/provider-readiness-native.test.mjs before PR or after provider-readiness changes.","Resolved coverage gap: added native provider-readiness smoke using synthetic provider commands in the app environment.","Verified executable readiness and UI fallback/disabled-provider behavior. Provider account auth, billing, and workspace trust are explicitly outside Wardian readiness per docs/guide/provider-readiness.md."
"US-003","App shell","Desktop command-center layout","As an operator, I want a stable three-column shell with titlebar view controls, left control rail, main work area, and right roster so that I can monitor and steer many agents quickly.","The shell should boot with the icon rail, selected content pane, main grid/dashboard/workflow surface, titlebar controls, collapsible sidebars, and right watchlist without layout collapse.","src/views/App.tsx; src/layout/SidebarIconRail.tsx; src/layout/SidebarContentPane.tsx; src/layout/titlebar/CustomTitleBar.tsx; src/layout/watchlist/AgentWatchlist.tsx; src/layout/titlebar/LeftSidebarControls.tsx; src/layout/titlebar/RightWindowControls.tsx; src/components/ConfirmDialog.tsx; src/components/SidebarResizeHandle.tsx","docs/guide/ui-overview.md; docs/features.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes. Also rerun npm run test -- src/views/App.test.tsx src/features/settings/SettingsModal.test.tsx. Also rerun npm run test -- src/components/SidebarResizeHandle.test.tsx src/layout/SidebarContentPane.test.tsx.","No defects recorded in current audit.","Covered by shell/navigation unit tests and browser E2E shell smoke. Titlebar sidebar toggles, platform window controls, and confirmation dialogs are part of the app shell contract. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/OnboardingHint.test.tsx src/layout/titlebar/WorkspaceTabs.test.tsx src/layout/titlebar/CustomTitleBar.test.tsx src/layout/titlebar/LeftSidebarControls.test.tsx src/layout/titlebar/RightWindowControls.test.tsx src/features/settings/useAppUpdate.test.tsx src/features/terminal/terminalShortcuts.test.ts src/features/terminal/terminalCapabilities.test.ts src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts src/features/remote/remoteIdentity.test.ts src/features/workflows/BlueprintSelector.test.tsx src/features/workflows/builder/NodePalette.test.tsx src/features/workflows/builder/VariableAssistant.test.tsx src/features/workflows/builder/useUpstreamContext.test.ts src/views/WorkflowsView.test.tsx (16 files, 140 tests). Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/ContextMenu.test.tsx src/components/ListEditor.test.tsx src/components/SidebarResizeHandle.test.tsx src/components/AdvancedSettings.test.tsx src/components/OnboardingHint.test.tsx src/layout/SidebarContentPane.test.tsx src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts src/views/GridView.test.tsx src/features/grid/AgentChatView.test.tsx src/features/grid/activityBlocks.test.ts src/features/grid/workLogPresentation.test.ts src/features/grid/markdown/ChatMarkdown.test.tsx src/features/workflows/builder/BuilderCanvas.test.tsx src/features/workflows/builder/autoLayout.test.ts src/features/workflows/builder/blueprintGraph.test.ts src/features/workflows/builder/nodeSummary.test.ts src/features/workflows/run/RunList.test.tsx src/features/workflows/run/WorkflowObserveMode.test.tsx src/features/workflows/run/statusColors.test.ts src/features/workflows/run/RunView.test.tsx src/features/workflows/run/useRunStore.test.ts src/features/workflows/monitor/ActiveRunsList.test.tsx src/features/workflows/monitor/WorkflowMonitorGlance.test.tsx src/features/workflows/monitor/WorkflowMonitor.test.tsx src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts (27 files, 322 tests)."
"US-004","Navigation","Top view switching","As a user, I want to switch between Grid, Dashboard, Queue, Library, Workflows, Graph, and Garden from the titlebar so that each operating mode is one click away.","Changing the view mode should render the selected view while preserving shared agent selection and sidebars; Garden is a placeholder, not a current production feature.","src/views/App.tsx; src/layout/titlebar/CustomTitleBar.tsx; src/views/GridView.tsx; src/views/DashboardView.tsx; src/views/QueueView.tsx; src/views/LibraryView.tsx; src/views/WorkflowsView.tsx; src/views/GraphView.tsx; src/views/PlaceholderView.tsx; src/layout/titlebar/WorkspaceTabs.tsx","docs/guide/ui-overview.md; docs/features.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes. Also rerun npm run test:e2e -- e2e/tests/features.spec.ts e2e/tests/workflows.spec.ts.","No defects recorded in current audit.","Covered by titlebar/view-switch unit tests and browser navigation smoke; Garden remains expected placeholder. WorkspaceTabs owns the top-level view tabs and Queue unread badge. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/OnboardingHint.test.tsx src/layout/titlebar/WorkspaceTabs.test.tsx src/layout/titlebar/CustomTitleBar.test.tsx src/layout/titlebar/LeftSidebarControls.test.tsx src/layout/titlebar/RightWindowControls.test.tsx src/features/settings/useAppUpdate.test.tsx src/features/terminal/terminalShortcuts.test.ts src/features/terminal/terminalCapabilities.test.ts src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts src/features/remote/remoteIdentity.test.ts src/features/workflows/BlueprintSelector.test.tsx src/features/workflows/builder/NodePalette.test.tsx src/features/workflows/builder/VariableAssistant.test.tsx src/features/workflows/builder/useUpstreamContext.test.ts src/views/WorkflowsView.test.tsx (16 files, 140 tests)."
"US-005","Navigation","Left control rail and content panes","As a user, I want the left icon rail to open agent config, commands, workflows, classes, explorer, terminal, and settings surfaces so that control tasks stay available beside the main view.","Rail buttons should switch only the left pane where appropriate, open modal/panel affordances for settings and terminal, and preserve the active main view unless a command explicitly navigates.","src/layout/SidebarIconRail.tsx; src/layout/SidebarContentPane.tsx; src/features/agents/SpawnAgentPanel.tsx; src/features/commands/CommandPanel.tsx; src/features/explorer/ExplorerPanel.tsx; src/features/settings/SettingsModal.tsx","docs/guide/ui-overview.md; docs/guide/settings.md; docs/guide/command-panel.md; docs/guide/explorer.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes.","No defects recorded in current audit.","Covered by sidebar/content pane unit tests and browser E2E shell tests."
"US-006","Agent grid","Terminal card monitoring","As an operator, I want each active agent to appear as a terminal card so that I can watch live output and interact with provider CLIs.","Grid cards should render agent headers, status, provider/class metadata, terminal output, direct input, pause/restart/clear/clone/delete controls, maximize, and selection behavior.","src/views/GridView.tsx; src/features/terminal/AgentTerminal.tsx; src/components/AgentContextMenu.tsx; src/views/App.tsx; src/components/ContextMenu.tsx","docs/guide/grid.md; docs/guide/ui-overview.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes. Also rerun npm run test -- src/components/ContextMenu.test.tsx src/views/GridView.test.tsx.","No defects recorded in current audit.","Covered by Grid/AgentTerminal unit tests, browser agent smoke, and native terminal rendering smoke. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/ContextMenu.test.tsx src/components/ListEditor.test.tsx src/components/SidebarResizeHandle.test.tsx src/components/AdvancedSettings.test.tsx src/components/OnboardingHint.test.tsx src/layout/SidebarContentPane.test.tsx src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts src/views/GridView.test.tsx src/features/grid/AgentChatView.test.tsx src/features/grid/activityBlocks.test.ts src/features/grid/workLogPresentation.test.ts src/features/grid/markdown/ChatMarkdown.test.tsx src/features/workflows/builder/BuilderCanvas.test.tsx src/features/workflows/builder/autoLayout.test.ts src/features/workflows/builder/blueprintGraph.test.ts src/features/workflows/builder/nodeSummary.test.ts src/features/workflows/run/RunList.test.tsx src/features/workflows/run/WorkflowObserveMode.test.tsx src/features/workflows/run/statusColors.test.ts src/features/workflows/run/RunView.test.tsx src/features/workflows/run/useRunStore.test.ts src/features/workflows/monitor/ActiveRunsList.test.tsx src/features/workflows/monitor/WorkflowMonitorGlance.test.tsx src/features/workflows/monitor/WorkflowMonitor.test.tsx src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts (27 files, 322 tests)."
"US-007","Agent grid","Chat card display mode","As a user, I want an agent card to switch between terminal and chat display so that ordinary conversation is easier to read without losing terminal fallback.","Card mode controls should switch one or all cards according to settings, preserve per-agent drafts, render markdown safely, and allow returning to terminal mode for provider-specific screens.","src/views/GridView.tsx; src/features/grid/AgentChatView.tsx; src/features/grid/markdown/ChatMarkdown.tsx; src/store/useSettingsStore.ts; src/features/grid/activityBlocks.ts; src/features/grid/chatCode.tsx; src/features/grid/chatCopy.tsx; src/features/grid/workLogPresentation.ts; src/features/grid/markdown/markdownSafety.ts","docs/guide/grid.md; docs/guide/settings.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes. Also rerun npm run test -- src/features/grid/AgentChatView.test.tsx src/features/grid/activityBlocks.test.ts src/features/grid/workLogPresentation.test.ts src/features/grid/markdown/ChatMarkdown.test.tsx.","No defects recorded in current audit.","Provider approval screens remain terminal-first. Chat card evidence now explicitly includes activity block modeling, work-log presentation, code rendering/copy controls, and safe markdown URL handling. Focused subfeature verification on 2026-06-22 passed: npm run test -- src/components/ContextMenu.test.tsx src/components/ListEditor.test.tsx src/components/SidebarResizeHandle.test.tsx src/components/AdvancedSettings.test.tsx src/components/OnboardingHint.test.tsx src/layout/SidebarContentPane.test.tsx src/layout/watchlist/AgentWatchlist.test.tsx src/layout/watchlist/ColumnPicker.test.tsx src/layout/watchlist/watchlistUtils.test.ts src/views/GridView.test.tsx src/features/grid/AgentChatView.test.tsx src/features/grid/activityBlocks.test.ts src/features/grid/workLogPresentation.test.ts src/features/grid/markdown/ChatMarkdown.test.tsx src/features/workflows/builder/BuilderCanvas.test.tsx src/features/workflows/builder/autoLayout.test.ts src/features/workflows/builder/blueprintGraph.test.ts src/features/workflows/builder/nodeSummary.test.ts src/features/workflows/run/RunList.test.tsx src/features/workflows/run/WorkflowObserveMode.test.tsx src/features/workflows/run/statusColors.test.ts src/features/workflows/run/RunView.test.tsx src/features/workflows/run/useRunStore.test.ts src/features/workflows/monitor/ActiveRunsList.test.tsx src/features/workflows/monitor/WorkflowMonitorGlance.test.tsx src/features/workflows/monitor/WorkflowMonitor.test.tsx src/features/remote/RemoteMobileApp.test.tsx src/features/remote/useRemoteStore.test.ts (27 files, 322 tests)."
"US-008","Agent grid","Agent card selection and multi-select","As a user, I want click and shift-click selection across agent cards so that broadcasts and bulk actions can target the right agents.","Card selection should support single selection, range selection, drag-aware click suppression, terminal focus selection, and clearing selection when the background is clicked.","src/views/App.tsx; src/views/GridView.tsx; src/layout/watchlist/AgentWatchlist.tsx","docs/guide/grid.md; docs/guide/watchlists.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes.","No defects recorded in current audit.","Selection is shared with roster and command targeting."
"US-009","Agent grid","Card resizing and stacked mode","As a user on narrow screens, I want the grid to stack and resize predictably so terminal input remains usable.","Grid layout should preserve minimum widths, support stacked mode, expose exit handles, persist sidebar resize state, and avoid text/control overlap across compact viewports.","src/views/GridView.tsx; src/features/grid/useGridResize.ts; src/store/useLayoutStore.ts; src/styles/App.css","docs/guide/grid.md; docs/guide/ui-overview.md","unit+browser","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun npm run test:e2e -- e2e/tests/responsive-layout.spec.ts and inspect e2e/screenshots/responsive-layout/stacked-mode.png before PR or after grid responsive changes.","Resolved visual evidence gap: responsive browser E2E now seeds two agent cards, asserts stacked-mode entry/exit, and captures stacked-mode screenshot.","Verified sidebar resize persistence and stacked grid behavior; screenshot artifact is non-empty and shows two stacked agent cards without visible control overlap."
"US-010","Agent lifecycle","Spawn agent","As a user, I want to spawn an agent with name, provider, class, and workspace so that I can create a managed provider session.","Spawn should validate required fields, pass normalized DTOs to the backend, create an agent entry, update roster/grid, and honor spawn-location/watchlist preferences.","src/features/agents/SpawnAgentPanel.tsx; src-tauri/src/commands/agent.rs; src-tauri/src/manager/spawn.rs; src-tauri/src/providers/factory.rs; crates/wardian-core/src/models/agent_config.rs; crates/wardian-core/src/models/provider.rs; crates/wardian-core/src/models/session_policy.rs; crates/wardian-core/src/models/mod.rs","docs/guide/getting-started.md; docs/guide/ui-overview.md; docs/guide/watchlists.md","unit+browser+native","audited_from_code_2026-06-22","tested_passed_2026-06-22","Rerun listed test layer before PR or after related changes.","No defects recorded in current audit.","Covered by spawn panel tests, browser mock spawn, native generated-name spawn, and CLI shared-state smoke. Core agent/provider/session-policy DTOs are explicitly tracked as part of spawn and lifecycle behavior."
